rootcause,faulttype,injectionver,pattern,score,in,out,localizedat
admin-order,abort,1011,"admin-order,","2287.27,","2312,","0,",1
admin-order,abort,1015,"admin-order,","1320.13,","1333,","0,",1
admin-order,cpu,1014,"admin-order,order,travel,ticketinfo,station,","86.31,3.07,2.77,2.50,0.13,","121,15,0,20,2,","14,0,20,0,0,",1
admin-order,cpu,1016,"admin-order,","157.02,","159,","0,",1
assurance,abort,1011,"assurance,","50.02,","51,","0,",1
assurance,abort,1015,"assurance,","71.05,","73,","0,",1
assurance,cpu,1012,"assurance,ticketinfo,travel,preserve,","92.53,9.42,7.37,3.77,","113,36,0,0,","0,0,35,19,",1
assurance,cpu,1016,"assurance,","90.01,","91,","0,",1
assurance,delay,1010,"assurance,","102.54,","110,","0,",1
assurance,delay,1014,"assurance,preserve,","94.53,1.30,","110,18,","0,9,",1
assurance+seat,cpu,1021,"assurance,seat,travel,preserve,travel-plan,","58.94,5.69,3.01,1.05,0.74,","76,23,7,0,12,","0,0,20,9,6,",1
auth,abort,1011,"auth,assurance,","45.43,29.23,","82,66,","0,0,",1
auth,abort,1015,"auth,assurance,ts-ui-dashboard,","49.53,22.21,20.43,","115,77,74,","0,0,0,",1
auth,cpu,1012,"assurance,ts-ui-dashboard,auth,","30.62,25.38,15.00,","80,73,56,","0,0,0,",3
auth,cpu,1016,"assurance,auth,","31.00,24.92,","62,54,","0,0,",2
auth,delay,1010,"auth,assurance,ts-ui-dashboard,","32.99,31.20,6.68,","80,78,36,","0,0,0,",1
auth,delay,1014,"assurance,auth,ts-ui-dashboard,","30.43,27.88,3.56,","70,67,24,","0,0,0,",2
basic,abort,1011,"basic,travel,route-plan,","13.60,2.00,0.70,","16,18,7,","0,16,5,",1
basic,abort,1015,"basic,travel,ticketinfo,travel-plan,route-plan,","27.43,8.00,5.00,1.20,0.40,","30,33,25,14,11,","0,25,30,11,12,",1
basic,abort,1023,"ticketinfo,basic,travel,travel-plan,route-plan,","65.50,27.98,26.00,20.20,2.26,","127,61,101,78,44,","61,0,127,44,49,",2
basic,cpu,1012,"basic,travel,ticketinfo,train,travel2,preserve,station,","30.12,6.35,4.71,3.27,1.45,1.41,0.28,","32,15,27,4,0,9,1,","0,26,32,0,6,5,0,",1
basic,cpu,1016,"basic,travel,seat,preserve,ticketinfo,","24.00,2.67,1.76,1.60,0.96,","24,17,2,10,23,","0,23,0,6,24,",1
basic,delay,1025,"basic,ticketinfo,travel,","10.00,2.00,0.90,","10,8,9,","0,10,8,",1
basic+train,cpu,1017,"train,basic,ticketinfo,travel,travel2,seat,travel-plan,","9.60,5.00,3.20,2.05,0.80,0.80,0.53,","12,12,8,10,0,6,2,","0,7,12,13,3,7,0,",1
basic+train,cpu,1021,"ticketinfo,train,travel,basic,preserve,ts-ui-dashboard,","10.71,5.88,4.50,3.29,0.53,0.16,","1,10,10,14,3,3,","14,0,1,10,0,0,",4
basic+train,delay,1021,"train,basic,seat,travel,","14.06,6.00,2.81,2.00,","15,16,11,14,","0,10,8,16,",1
cancel,abort,1011,"cancel,","37.53,","42,","0,",1
cancel,abort,1015,"cancel,","58.02,","59,","0,",1
cancel,abort,1023,"cancel,","37.10,","39,","0,",1
cancel,cpu,1012,"cancel,","49.08,","51,","0,",1
cancel,cpu,1016,"cancel,","44.00,","44,","0,",1
cancel,delay,1010,"cancel,","31.24,","34,","0,",1
cancel,delay,1014,"cancel,","34.11,","36,","0,",1
cancel,delay,1025,"cancel,notification,order,","30.59,0.85,0.07,","38,5,1,","5,0,0,",1
config,abort,1011,"config,travel,seat,","27.46,6.00,4.00,","31,29,35,","0,35,31,",1
config,abort,1015,"config,travel,","16.80,3.00,","20,23,","0,20,",1
config,cpu,1012,"config,travel,travel2,seat,","15.21,4.76,2.17,0.71,","21,3,1,22,","0,16,6,21,",1
config,cpu,1016,"config,seat,","3.27,0.85,","6,7,","0,6,",1
config,delay,1010,"config,preserve,seat,travel,","11.61,5.05,0.87,0.65,","21,16,20,21,","0,4,21,20,",1
config,delay,1014,"config,preserve,travel,","12.50,1.67,0.71,","15,6,13,","0,1,15,",1
config,delay,1025,"seat,config,travel,preserve,notification,","33.15,29.75,17.14,8.08,0.33,","0,34,20,19,1,","34,0,0,2,0,",2
contacts,abort,1011,"contacts,","71.05,","73,","0,",1
contacts,abort,1015,"contacts,","45.00,","45,","0,",1
contacts,cpu,1014,"contacts,ticketinfo,travel,preserve,station,","73.92,4.87,3.76,0.62,0.09,","93,24,0,0,1,","0,0,24,5,0,",1
contacts,cpu,1016,"contacts,seat,travel,","96.24,0.25,0.14,","101,3,1,","0,0,3,",1
contacts,delay,1010,"contacts,preserve,","95.97,3.00,","115,23,","0,5,",1
contacts,delay,1014,"contacts,","76.00,","76,","0,",1
food,abort,1011,"food,","51.02,","52,","0,",1
food,abort,1015,"food,","67.01,","68,","0,",1
food,cpu,1014,"food,order,seat,","94.45,0.21,0.08,","101,5,0,","0,0,1,",1
food,cpu,1016,"food,","65.00,","65,","0,",1
food,delay,1010,"food,preserve,seat,","105.32,4.55,0.14,","124,33,0,","0,13,1,",1
food,delay,1014,"food,preserve,","73.30,0.54,","78,9,","0,4,",1
food+seat,cpu,1017,"food,seat,travel,preserve,","39.19,5.67,0.70,0.65,","52,17,12,15,","0,0,13,12,",1
food-map,abort,1011,"food-map,food,","41.14,5.89,","48,54,","0,48,",1
food-map,abort,1015,"food-map,food,","37.52,13.58,","49,63,","0,49,",1
food-map,abort,1023,"food-map,food,user,seat,route,train,","7.12,2.47,0.11,0.10,0.10,0.09,","11,14,1,1,1,1,","0,11,0,0,0,0,",1
food-map,cpu,1012,"food-map,food,","31.11,16.71,","47,67,","0,47,",1
food-map,cpu,1016,"food-map,food,","18.67,8.07,","28,40,","0,28,",1
food-map,delay,1010,"food-map,food,","34.46,20.96,","56,81,","0,56,",1
food-map,delay,1014,"food-map,station,","50.02,0.15,","51,1,","0,0,",1
food-map,delay,1025,"food,food-map,","63.21,22.24,","131,56,","56,0,",2
inside-payment,abort,1011,"inside-payment,","32.00,","32,","0,",1
inside-payment,abort,1015,"inside-payment,","35.00,","35,","0,",1
inside-payment,cpu,1014,"inside-payment,ts-ui-dashboard,food,food-map,station,order,","6.90,5.54,3.55,1.19,0.18,0.09,","26,35,26,8,3,1,","0,0,8,0,0,0,",1
inside-payment,cpu,1016,"inside-payment,cancel,","33.03,2.64,","34,0,","0,13,",1
inside-payment,delay,1010,"inside-payment,train,travel,cancel,","36.25,0.61,0.42,0.28,","43,7,0,20,","0,0,7,21,",1
