,source,destination
0,front-end,session-db
1,carts,carts-db
2,catalogue,catalogue-db
3,orders,orders-db
4,user,user-db
5,queue-master,rabbitmq
6,shipping,rabbitmq
7,front-end,carts
8,orders,carts
9,front-end,catalogue
10,front-end,orders
11,orders,payment
12,orders,shipping
13,front-end,user
14,orders,user
15,queue-master,home-cluster-node3
16,carts,home-cluster-node2
17,catalogue,home-cluster-node3
18,orders-db,home-cluster-node1
19,shipping,home-cluster-node3
20,user-db,home-cluster-node2
21,front-end,home-cluster-node3
22,payment,home-cluster-node2
23,session-db,home-cluster-node2
24,catalogue-db,home-cluster-node1
25,rabbitmq,home-cluster-node1
26,carts-db,home-cluster-node1
27,orders,home-cluster-node2
28,user,home-cluster-node1
