,source,destination
0,catalogue,catalogue-db
1,orders,orders-db
2,user,user-db
3,queue-master,rabbitmq
4,shipping,rabbitmq
5,front-end,session-db
6,carts,carts-db
7,orders,carts
8,front-end,catalogue
9,front-end,orders
10,orders,payment
11,orders,shipping
12,front-end,user
13,orders,user
14,front-end,carts
15,catalogue-db,home-cluster-node1
16,payment,home-cluster-node2
17,queue-master,home-cluster-node3
18,session-db,home-cluster-node2
19,user,home-cluster-node1
20,user-db,home-cluster-node2
21,carts,home-cluster-node2
22,shipping,home-cluster-node3
23,carts-db,home-cluster-node1
24,orders,home-cluster-node2
25,front-end,home-cluster-node3
26,orders-db,home-cluster-node1
27,rabbitmq,home-cluster-node1
28,catalogue,home-cluster-node3
