gateway_fanout-1,gateway_fanout-2,gateway_fanout-3,gateway_fanout-4,gateway_fanout-5
"('gateway', 0.3269230769230769)","('fanout-4', 0.14608819883068203)","('fanout-2', 0.14262649390262558)","('fanout-1', 0.13746794327291928)","('fanout-5', 0.12565756279453438)","('fanout-3', 0.12123672427616186)","('fanout-2-db', 0.0)","('home-cluster-node3', 0.0)","('fanout-1-db', 0.0)","('home-cluster-node1', 0.0)","('fanout-5-db', 0.0)","('fanout-4-db', 0.0)","('fanout-3-db', 0.0)"
"('gateway', 0.3269230769230769)","('fanout-4', 0.14608819883068203)","('fanout-2', 0.14262649390262558)","('fanout-1', 0.13746794327291928)","('fanout-5', 0.12565756279453438)","('fanout-3', 0.12123672427616186)","('fanout-2-db', 0.0)","('fanout-1-db', 0.0)","('fanout-5-db', 0.0)","('fanout-4-db', 0.0)","('fanout-3-db', 0.0)"
